model,alpha,pi_hat,rej,n_assets
Chronos-Small,0.01,0.010823411682535538,10,24
Chronos-Small,0.025,0.02412050102734196,14,24
Chronos-Small,0.05,0.04754417059303149,16,24
Chronos-Small,0.1,0.09666116248314714,15,24
Chronos-Small-A,0.01,0.011289453277558597,5,24
Chronos-Small-A,0.025,0.027395010418428508,9,24
Chronos-Small-A,0.05,0.05383208145711869,5,24
Chronos-Small-A,0.1,0.10434233422197559,4,24
Chronos-Mini,0.01,0.010292238394798545,13,24
Chronos-Mini,0.025,0.024213563411728117,13,24
Chronos-Mini,0.05,0.04692812569383975,15,24
Chronos-Mini,0.1,0.09539926732591301,17,24
Chronos-Mini-A,0.01,0.010700556197397341,4,24
Chronos-Mini-A,0.025,0.02664939015303003,5,24
Chronos-Mini-A,0.05,0.052766896595214885,5,24
Chronos-Mini-A,0.1,0.10264473760047176,5,24
TimesFM-2.5,0.01,0.0102697799950807,4,24
TimesFM-2.5,0.025,0.026952653237021548,7,24
TimesFM-2.5,0.05,0.05233764721078166,6,24
TimesFM-2.5,0.1,0.1018826894872855,5,24
Moirai-1.1,0.01,0.010543706975897514,9,24
Moirai-1.1,0.025,0.02466114024537687,6,24
Moirai-1.1,0.05,0.04974291711889927,5,24
Moirai-1.1,0.1,0.1008366020512017,5,24
Moirai-2.0,0.01,0.011128588131335859,7,24
Moirai-2.0,0.025,0.02612975941029474,8,24
Moirai-2.0,0.05,0.05177617588725303,7,24
Moirai-2.0,0.1,0.10313361057385843,6,24
Lag-Llama,0.01,0.009485619044985521,2,24
Lag-Llama,0.025,0.02382986512938223,7,24
Lag-Llama,0.05,0.04875374729847198,7,24
Lag-Llama,0.1,0.0992319183481538,6,24
