model,symbol,z2_raw,z2_corr,raw_pass,corr_pass,q_hat_E,n_test
Chronos-Small,SP500,156.3056740807777,17.42295870140041,True,True,0.0015526763791020356,1824
Chronos-Small,STOXX,169.59628758280587,6.815229655599402,True,True,0.0015183264024899498,1498
Chronos-Small,GDAXI,147.5854195066815,8.396051779978364,True,True,0.0017600199619081684,1843
Chronos-Small,FCHI,165.09736963582424,13.494224755570448,True,True,0.0019467003971505217,1856
Chronos-Small,FTSE100,136.91590099896737,14.011041300250053,True,True,0.0016477043187632934,1833
Chronos-Small,ICLN,83.280378470983,4.338414285838073,True,True,0.0025406382468418365,1185
Chronos-Small,NIKKEI,140.4772692975474,10.19188336239504,True,True,0.00178392715432079,1772
Chronos-Small,HSI,105.03481587283117,6.749187451550916,True,True,0.002204416441454894,1784
Chronos-Small,BOVESPA,118.70281975260464,10.626153045497395,True,True,0.0024368128445447753,1794
Chronos-Small,NIFTY,179.64195738291673,8.958930503234035,True,True,0.00136071312197787,1208
Chronos-Small,ASX200,214.56085904148313,14.81060789051037,True,True,0.001963891443325838,1833
Chronos-Small,CBU0,80.59207971602899,5.727304327547896,True,True,0.005634674839047544,976
Chronos-Small,TLT,94.64583514118671,10.65829129198843,True,True,0.001157989899774327,1631
Chronos-Small,IBGL,90.60724177467966,5.851862594427425,True,True,0.0010118789888093557,1226
Chronos-Small,DJCI,150.11707444291395,27.690002095738187,True,True,0.0010015679427961724,693
Chronos-Small,GOLD,174.60319062001867,11.777250051573796,True,True,0.0015900950132716586,1770
Chronos-Small,WTI,164.4018106489399,28.834842909568145,True,True,0.0027898020073487823,1772
Chronos-Small,NATGAS,102.31052874052253,17.637396481256598,True,True,0.004626731879142858,1771
Chronos-Small,BTC,97.94680805195874,2.073663719198875,True,True,0.00484681932763799,1107
Chronos-Small,ETH,135.89564036932936,5.264846205075758,True,True,0.00447020043580747,762
Chronos-Small,EURUSD,111.01294981525852,3.252005880728746,True,True,0.0007563806918231216,1582
Chronos-Small,GBPUSD,110.58727303038907,6.575650438945244,True,True,0.0006474010415411561,1585
Chronos-Small,USDJPY,144.98987120728424,9.601626302674624,True,True,0.000679213883569595,1888
Chronos-Small,AUDUSD,105.78590088203437,2.256520852069001,True,True,0.0008706715000155354,1395
Chronos-Mini,SP500,128.95784328295585,11.745682185915989,True,True,0.0012824402028043277,1824
Chronos-Mini,STOXX,181.53590694903622,7.323783615797319,True,True,0.0013667440523209401,1498
Chronos-Mini,GDAXI,173.5216523551709,8.431345508559367,True,True,0.0017485032380185656,1843
Chronos-Mini,FCHI,174.88759013199657,13.359718768184159,True,True,0.0016109367682677978,1856
Chronos-Mini,FTSE100,167.53218732198175,17.339583298253427,True,True,0.0012366350212625744,1833
Chronos-Mini,ICLN,119.27049330208003,6.07243284030581,True,True,0.00188804893229826,1185
Chronos-Mini,NIKKEI,189.08231850892346,13.158278541095518,True,True,0.0015517724455820295,1772
Chronos-Mini,HSI,156.6266858327091,9.735315751338225,True,True,0.0016023736671293733,1784
Chronos-Mini,BOVESPA,128.16261087026479,7.538010017370367,True,True,0.00202560221479248,1794
Chronos-Mini,NIFTY,177.84531462908407,7.2295316201878865,True,True,0.001083631560081894,1208
Chronos-Mini,ASX200,189.7923155575203,16.7295243544108,True,True,0.0012356152889843046,1833
Chronos-Mini,CBU0,123.31762684528192,7.694157795544096,True,True,0.004041437384727152,976
Chronos-Mini,TLT,149.4427252163031,17.33305069827712,True,True,0.0008166482268950194,1631
Chronos-Mini,IBGL,121.12273965492018,7.1136291413227655,True,True,0.0008909795136757983,1226
Chronos-Mini,DJCI,193.63909088532697,32.40925311504301,True,True,0.0008402118516351587,693
Chronos-Mini,GOLD,245.91265190777253,13.072709835494587,True,True,0.0017724758020766283,1770
Chronos-Mini,WTI,188.14801025931888,31.239834396499532,True,True,0.0024235160826070225,1772
Chronos-Mini,NATGAS,142.89141744003425,23.337876666253507,True,True,0.0032834741338433737,1771
Chronos-Mini,BTC,152.75972903516893,2.53878534864986,True,True,0.0036741331090303373,1107
Chronos-Mini,ETH,199.82799727394345,6.597639623093802,True,True,0.00413136829214882,762
Chronos-Mini,EURUSD,150.88325016810103,3.83630199023139,True,True,0.0006624433298464951,1582
Chronos-Mini,GBPUSD,156.6824377646961,7.4603630927755376,True,True,0.0006525419990093216,1585
Chronos-Mini,USDJPY,189.77327364420822,12.065657245910376,True,True,0.0007027829072096276,1888
Chronos-Mini,AUDUSD,149.6132914113399,2.574790490931676,True,True,0.0008790428550778743,1395
TimesFM-2.5,SP500,4.189038076571469,3.10316155081498,True,True,0.0020338271449676995,1824
TimesFM-2.5,STOXX,2.9708345704139933,2.030817053087915,True,True,0.001758209179351232,1498
TimesFM-2.5,GDAXI,3.7888156587338635,2.795777334068467,True,True,0.0037163408340421603,1843
TimesFM-2.5,FCHI,3.6155247326465307,2.9123537489020705,True,True,0.0026066916163336867,1856
TimesFM-2.5,FTSE100,3.8743169583234294,2.7382191109968437,True,True,0.0033016337417748065,1833
TimesFM-2.5,ICLN,1.7489554206981575,1.4098265605415852,True,True,0.0028683771265605104,1185
TimesFM-2.5,NIKKEI,3.2123994352155822,2.207472325398512,True,True,0.0033857190257070985,1772
TimesFM-2.5,HSI,2.6744099715210834,2.313263759697916,True,True,0.003300459092321996,1784
TimesFM-2.5,BOVESPA,3.9276591129891,3.389772990975118,True,True,0.0036046245558251436,1794
TimesFM-2.5,NIFTY,2.7028686497492123,2.2801947357170556,True,True,0.0014193509167235996,1208
TimesFM-2.5,ASX200,4.7083026170369076,3.4976089793234966,True,True,0.0008779247545464414,1833
TimesFM-2.5,CBU0,1.9724663715475597,1.739539461597059,True,True,0.00042734347024880534,976
TimesFM-2.5,TLT,1.8540155059028445,1.8465732097150842,True,True,0.0015594153090859614,1631
TimesFM-2.5,IBGL,2.0321185323420368,1.5566406987953028,True,True,0.0010120356262016197,1226
TimesFM-2.5,DJCI,4.331836788027692,4.257189128831371,True,True,0.0004708035843162192,693
TimesFM-2.5,GOLD,4.287332915711,3.1437177419903977,True,True,0.001753327369134635,1770
TimesFM-2.5,WTI,4.0837062986293,3.545113294272004,True,True,0.004034100662436056,1772
TimesFM-2.5,NATGAS,2.428090965393263,2.659419243056707,True,True,0.005787359706592887,1771
