model,raw_fz,corr_fz,improvement_pct
Chronos-Small,34868675.116757326,-2.962940095722054,100.00000849742668
Chronos-Mini,46988706.48914819,-2.985031516377255,100.00000635265735
TimesFM-2.5,-3.0469765317363398,-3.197983103642823,4.955947981011563
Moirai-2.0,-3.030520319326778,-3.1858034850975323,5.123977053724228
Moirai-1.1,-2.9491343619272583,-2.990645232238116,1.4075611761456137
Lag-Llama,-2.4923490579962295,-3.1042406828841855,24.550799693358268
GJR-GARCH,-3.1754753084138088,-3.2719487368962104,3.038078369772975
GJR-GARCH-t,-3.224824231982241,-3.2788334362901357,1.6747952887558253
GARCH-N,-3.1718330966815995,-3.2611680937694083,2.816510023218809
Hist-Sim,-2.929156898974408,-3.063968894453781,4.602416331012337
EWMA,-3.104302776999224,-3.234148953736422,4.182780677814996
Chronos-Small-A,-3.1234323496566923,-3.195921591428112,2.3208199716375275
Chronos-Mini-A,-3.124055109138301,-3.1928177200684225,2.201069076181828
